run_id,RSS_M01,RSS_M23,n,F,p_value,warranted
run 3,1.619293699128906,0.053211992376739,383,11183.776851512317,6.150627506711487e-284,yes
run 4,5.5026850072160975,0.1824069926927709,1432,41679.746870006595,0.0,yes
run 5,3.2926669688786965,0.1477103501266739,821,17416.345651695756,0.0,yes
run 6,0.9212944393449228,0.0164726448117797,285,15489.907599772921,1.835561906030034e-248,yes
run 8,0.6880456589924349,0.0121829176441931,255,13980.018234871472,9.322828884896786e-223,yes
