run_id,Q_lpm,m_g,L_bed_cm,rho_b_kg_m3,eps_raw_EC2,eps_floored,U_m_s,v_m_s
run 3,0.15,8.0076,21.0,671.978446427503,0.16002694196562128,0.3,0.04405673165173573,0.14685577217245244
run 4,0.05,8.0,21.3,661.8851703547151,0.17264353705660607,0.3,0.014685577217245244,0.04895192405748415
run 5,0.1,8.0,21.2,665.007270214879,0.1687409122314013,0.3,0.02937115443449049,0.0979038481149683
run 6,0.15,8.0,21.5,655.7280990025783,0.18033987624677705,0.3,0.04405673165173573,0.14685577217245244
run 8,0.1,8.0,21.5,655.7280990025783,0.18033987624677705,0.3,0.02937115443449049,0.0979038481149683
