run_id,fmt,code,name,converged,n,p,RSS,R2,AdjR2,RMSE,chi2_red,AIC,AICc,W_AICc,AAD,params,stderr,message,t_b_s,t_E_s,t50_s,q_dyn_mol_per_kg,L_MTZ_m,efficiency
2026-07-31-conc5-flow0.15,D,M01,Yoon-Nelson / Thomas / BA (logistic),True,351,2,2.072652841156009,0.9055608539849147,0.9052902547126651,0.07706382650600654,0.005938833355747877,-1797.3168616919413,-1797.2823789333206,9.85967654375977e-305,0.5704529923999765,k_YN=0.00233085;tau=686.503,k_YN=8.52143e-05;tau=15.1389,converged,204.69788321167883,3846.713333333333,520.3655172413794,0.39980173828452553,0.12111957651363237,0.20000813819845717
2026-07-31-conc5-flow0.15,D,M02,Clark,True,351,3,1.4666844237021015,0.9331714304983175,0.9327873582598021,0.0648269555457877,0.004214610412937073,-1916.7014343389158,-1916.632270073786,9.85967654375977e-305,0.4767507541248922,r=0.00178107;A=0.0225682;n=1.01,r=0.00012505;A=0.448159;n=0.196967,converged,204.69788321167883,3846.713333333333,520.3655172413794,0.39980173828452553,0.12111957651363237,0.20000813819845717
2026-07-31-conc5-flow0.15,D,M03,Fractal Clark,True,351,4,0.051931317410027475,0.997633781610573,0.9976133243910679,0.012198374335066818,0.00014965797524503594,-3087.335436060142,-3087.219829123726,1.0242365701001948e-58,0.16233317176873735,r=0.80982;A0=1e+06;n=1.01;h=0.93515,r=0.161767;A0=1.61719e+07;n=0.0811039;h=0.026513,converged,204.69788321167883,3846.713333333333,520.3655172413794,0.39980173828452553,0.12111957651363237,0.20000813819845717
2026-07-31-conc5-flow0.15,D,M04,Modified Dose-Response (Yan),True,351,2,0.20305655013941692,0.9907478537615396,0.990721343313865,0.02412102663447201,0.0005818239259009081,-2612.725003519789,-2612.6905207611685,9.282612397427314e-162,0.2976528942282938,a=1.59308;t50=567.08,a=0.0151692;t50=4.35141,converged,204.69788321167883,3846.713333333333,520.3655172413794,0.39980173828452553,0.12111957651363237,0.20000813819845717
2026-07-31-conc5-flow0.15,D,M05,"Wolborska (linearised, early)",True,6,2,0.0006090190948502493,0.9519170642580188,0.9398963303225235,0.012339156118331689,0.00015225477371256233,-51.172522433240395,-47.172522433240395,9.85967654375977e-305,0.29793682127563975,slope=0.0259346;intercept=-8.31349,slope=0.00359985;intercept=0.851987,converged,204.69788321167883,3846.713333333333,520.3655172413794,0.39980173828452553,0.12111957651363237,0.20000813819845717
2026-07-31-conc5-flow0.15,D,M06,Gudermannian (Hu 2021),True,351,2,1.9599707077610051,0.9106951457667679,0.9104392579322887,0.07493972186601253,0.005615961913355316,-1816.9377000696095,-1816.9032173109888,9.85967654375977e-305,0.5741858157077653,k=0.00186937;tau=680.256,k=6.83339e-05;tau=14.8805,converged,204.69788321167883,3846.713333333333,520.3655172413794,0.39980173828452553,0.12111957651363237,0.20000813819845717
2026-07-31-conc5-flow0.15,D,M07,Error-Function (Hu 2021),True,351,2,2.2414760712465904,0.897868527821711,0.8975758875002833,0.08014092300060258,0.006422567539388511,-1769.8317165982514,-1769.7972338396307,9.85967654375977e-305,0.5657361633253408,k=0.00101198;tau=694.164,k=3.69158e-05;tau=15.5053,converged,204.69788321167883,3846.713333333333,520.3655172413794,0.39980173828452553,0.12111957651363237,0.20000813819845717
2026-07-31-conc5-flow0.15,D,M08,Tanh (Hu 2019),True,351,2,2.072652839800424,0.9055608540466811,0.9052902547746086,0.07706382648080537,0.005938833351863679,-1797.316861921507,-1797.2823791628864,9.85967654375977e-305,0.570450597427397,k=0.00116544;tau=686.502,k=4.26077e-05;tau=15.1388,converged,204.69788321167883,3846.713333333333,520.3655172413794,0.39980173828452553,0.12111957651363237,0.20000813819845717
2026-07-31-conc5-flow0.15,D,M09,Log-Normal (Chu-Hashim),True,351,2,0.2480288338523414,0.9886987194425342,0.9886663375498194,0.026658663463980933,0.0007106843376857919,-2542.5037706252024,-2542.469287866582,5.239902876504342e-177,0.31040321880271315,a=1.07545;b=6.34262,a=0.0107325;b=0.00862952,converged,204.69788321167883,3846.713333333333,520.3655172413794,0.39980173828452553,0.12111957651363237,0.20000813819845717
2026-07-31-conc5-flow0.15,D,M10,Fractal Gudermannian (Hu 2024),True,351,3,0.07225092006563481,0.9967079314710527,0.9966890115369783,0.014388283205365658,0.00020761758639550233,-2973.4271508134957,-2973.357986548366,1.9302577873930855e-83,0.17925578489589047,k0=0.174337;tau0=539.952;h=0.665475,k0=0.00832721;tau0=2.4709;h=0.00636315,converged,204.69788321167883,3846.713333333333,520.3655172413794,0.39980173828452553,0.12111957651363237,0.20000813819845717
