run_id,fmt,code,name,converged,n,p,RSS,R2,AdjR2,RMSE,chi2_red,AIC,AICc,W_AICc,AAD,params,stderr,message,t_b,t_E,t50,q_dyn_mol_per_kg,L_MTZ_m,efficiency
150ml_4g,B,M01,Yoon-Nelson / Thomas / BA (logistic),True,1320,2,29.487432326067683,0.68367385877808,0.6834338541185793,0.1495756068327442,0.022372862159383673,-5013.878182926382,-5013.86907130907,9.85967654375977e-305,0.33527922756180834,k_YN=0.00247698;tau=1136.87,k_YN=9.29952e-05;tau=16.5456,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M02,Clark,True,1320,3,25.588211448649425,0.7255027125177556,0.7250858601449655,0.13933565397222472,0.01942916586837466,-5199.096943781123,-5199.078706699056,9.85967654375977e-305,0.3338663585716758,r=0.00135657;A=0.033995;n=1.01,r=8.91793e-05;A=0.549295;n=0.159917,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M03,Fractal Clark,True,1320,4,10.785686986548352,0.8842966485804801,0.8840328871410739,0.09046200330186822,0.00819581078005194,-6337.4604920508355,-6337.430073799885,9.85967654375977e-305,0.30395206820147075,r=0.736831;A0=294300;n=1.01008;h=0.932997,r=0.703203;A0=1.91041e+07;n=0.327085;h=0.117681,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M04,Modified Dose-Response (Yan),True,1320,2,13.497107796025212,0.8552099084260176,0.8551000525143531,0.10119583845597704,0.010240597720808204,-6045.443299353865,-6045.434187736553,9.85967654375977e-305,0.32542344333293816,a=1.52993;t50=1092.41,a=0.0283154;t50=16.1394,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M05,"Wolborska (linearised, early)",True,15,2,0.00043832295597576783,0.9841736859584498,0.9829562771860229,0.005806647092744181,3.3717150459674446e-05,-152.6090716697446,-151.6090716697446,9.85967654375977e-305,0.1782351328081292,slope=0.0367993;intercept=-28.7711,slope=0.00172048;intercept=1.23733,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M06,Gudermannian (Hu 2021),True,1320,2,28.892992403361504,0.690050707221804,0.6898155408388159,0.14806027666484667,0.021921845526070943,-5040.760063978925,-5040.750952361614,9.85967654375977e-305,0.34120786805958714,k=0.00181507;tau=1148.35,k=6.74673e-05;tau=17.4184,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M07,Error-Function (Hu 2021),True,1320,2,30.218122180628622,0.675835390525999,0.6755894386219974,0.1514174860072714,0.022927255068762233,-4981.567662633377,-4981.558551016065,9.85967654375977e-305,0.3294534523470085,k=0.00116494;tau=1126.78,k=4.34714e-05;tau=15.7411,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M08,Tanh (Hu 2019),True,1320,2,29.4874323497655,0.6836738585238618,0.6834338538641682,0.14957560689284805,0.022372862177363808,-5013.878181865553,-5013.869070248242,9.85967654375977e-305,0.33527980677929425,k=0.00123848;tau=1136.88,k=4.64972e-05;tau=16.5457,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M09,Log-Normal (Chu-Hashim),True,1320,2,14.646241905875243,0.8428825835271995,0.8427633745617421,0.10541572411480601,0.011112474890648894,-5937.588274452757,-5937.5791628354455,9.85967654375977e-305,0.3358448999833379,a=1.1272;b=7.00272,a=0.0205168;b=0.015693,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M10,Fractal Gudermannian (Hu 2024),True,1320,3,4.662231149971572,0.949985961041057,0.9499100095771862,0.059475649816298735,0.0035400388382472074,-7446.5786207103,-7446.5603836282335,9.85967654375977e-305,0.23538632721079877,k0=1;tau0=1009.25;h=0.920261,k0=0.116488;tau0=7.80301;h=0.0144301,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M11,Fractal Error-Function (Hu 2024),True,1320,3,4.157199100731831,0.9554036873986069,0.9553359633096147,0.05616201836722303,0.0031565672746635015,-7597.920008736665,-7597.901771654599,9.85967654375977e-305,0.22510834976511182,k0=0.916772;tau0=1004.92;h=0.99,k0=0.0929938;tau0=7.00001;h=0.0124759,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M12,Gompertz (Chu 2020),True,1320,2,25.537541975186095,0.7260462687976366,0.725838413159395,0.1391976302036575,0.019375980254314185,-5203.7133835356835,-5203.704271918372,9.85967654375977e-305,0.3338123549638332,alpha_G=1.21051;beta_G=0.00134786,alpha_G=0.0492575;beta_G=3.93484e-05,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M13,Log-Gompertz (Chu 2020),True,1320,2,9.85457495346606,0.8942851437879737,0.8942049352476005,0.08646916066541077,0.007476915746180621,-6460.635591847161,-6460.626480229849,9.85967654375977e-305,0.2906587781796403,alpha_G=8.33243;beta_G=1.24689,alpha_G=0.137776;beta_G=0.0188315,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M14,Weibull (Chu 2021),True,1320,2,19.90134431094009,0.7865085239909728,0.7863465425979462,0.12288065045873754,0.015099654257162436,-5532.8716473197865,-5532.862535702475,9.85967654375977e-305,0.3732780502489422,tau=1717.4;k=0.834707,tau=27.3519;k=0.0183271,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M15,Avrami (Singh),True,1320,2,19.9013443258872,0.7865085238306279,0.7863465424374796,0.12288065050488294,0.015099654268503187,-5532.871646328386,-5532.862534711075,9.85967654375977e-305,0.37327950971802754,k=0.00199468;n=0.834694,k=0.000283168;n=0.0183263,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M16,Klinkenberg,True,1320,2,41.404545748382034,0.5558331413598957,0.5554961407084238,0.1772418633098465,0.03141467810954631,-4565.835168920444,-4565.826057303132,9.85967654375977e-305,0.457364399118896,K_fa=1;K=2617.97,K_fa=0.0423527;K=63.3532,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M17,Dima (wave erf),True,1320,2,30.218122051607445,0.6758353919100724,0.675589440007121,0.15141748568402064,0.022927254970870597,-4981.567668269331,-4981.558556652019,9.85967654375977e-305,0.32945094373356226,v_d=0.000887496;sigma_a=0.538675,v_d=1.23982e-05;sigma_a=0.0215518,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
150ml_4g,B,M18,Chern-Chien Langmuir,True,1,4,0.2449920374396683,,,0.4949667033646489,0.2449920374396683,6.5934704307881935,inf,,0.9801320858705919,K_fa=0.00435967;K_L=1;q0=1;t12=917.5,K_fa=0;K_L=0;q0=0;t12=0,converged,699.0,,917.5,0.0006957725968475927,,0.3436658427372321
