,sensor [Auto],,,,,,,
,CO2,Pressure,Temperature,Humidity,TC-Pressure,TC-Humidity,TC-Temperature,
05/20/26 15:56:57.415,,"1002",,,,,,
05/20/26 15:56:57.651,,,"24.2",,,,,
05/20/26 15:56:57.917,,,,"61.9",,,,
05/20/26 15:56:58.155,,,,,"1001",,,
05/20/26 15:56:58.405,,,,,,"65",,
05/20/26 15:56:58.655,,,,,,,"22.1",
05/20/26 15:57:29.370,"5700","1002","24.1","62","1001","65","22.1",
05/20/26 15:57:34.368,"4900","1002","24.1","61.9","1001","65","22.1",
05/20/26 15:57:39.368,"4200","1002","24.1","62.4","1001","65","22.1",
05/20/26 15:57:44.367,"3700","1002","24.1","62.7","1001","65","22.1",
05/20/26 15:57:49.367,"3300","1002","24.1","63","1001","66","22.1",
05/20/26 15:57:54.368,"3000","1002","24.1","62.9","1001","66","22.1",
05/20/26 15:57:59.368,"2800","1002","24.1","62.9","1001","66","22.1",
05/20/26 15:58:04.368,"2500","1002","24.1","62.7","1001","66","22.1",
05/20/26 15:58:09.368,"2300","1002","24.1","62.2","1001","65","22.1",
05/20/26 15:58:14.368,"2100","1002","24","62","1001","65","22.1",
05/20/26 15:58:19.368,"2100","1002","24","62.3","1001","65","22.1",
05/20/26 15:58:24.368,"2000","1002","24","62.5","1001","65","22.1",
05/20/26 15:58:26.399,"2000","1002","24","62.4","1001","65","22.1",
05/20/26 15:58:29.959,"1900","1002","24","62.4","1001","65","22.1",
05/20/26 15:58:34.959,"1800","1002","24","62.8","1001","65","22",
05/20/26 15:58:39.959,"1700","1002","24","62.4","1001","65","22",
05/20/26 15:58:44.959,"1600","1002","24","62.1","1001","65","22",
05/20/26 15:58:49.959,"1500","1002","24","62.5","1001","65","22",
05/20/26 15:58:54.958,"1500","1002","24","62.5","1001","65","22",
05/20/26 15:58:59.959,"1400","1002","23.9","62.5","1001","65","22",
05/20/26 15:59:04.959,"1300","1002","23.9","62.8","1001","65","22",
05/20/26 15:59:09.960,"1300","1002","24","63","1001","66","22",
05/20/26 15:59:14.959,"1200","1002","24","63","1001","66","22",
05/20/26 15:59:19.959,"1200","1002","24","63.1","1001","66","22",
05/20/26 15:59:24.959,"1100","1002","24","63","1001","66","22",
05/20/26 15:59:29.959,"1100","1002","24.1","62.9","1001","66","22",
05/20/26 15:59:34.959,"1100","1002","24.1","62.7","1001","66","22",
05/20/26 15:59:39.959,"1000","1002","24.1","62.6","1001","66","22",
05/20/26 15:59:44.959,"1000","1002","24.1","62.7","1001","66","22",
05/20/26 15:59:49.959,"900","1002","24.1","62.8","1001","66","22",
05/20/26 15:59:54.959,"900","1002","24.1","62.7","1001","66","22",
05/20/26 15:59:59.959,"900","1002","24.1","62.5","1001","66","22",
05/20/26 16:00:04.960,"800","1002","24.1","62.2","1001","65","22",
05/20/26 16:00:09.959,"800","1002","24.1","62.7","1001","66","22",
05/20/26 16:00:14.960,"800","1002","24","62.5","1001","65","22",
05/20/26 16:00:19.959,"700","1002","24","62.5","1001","65","22",
05/20/26 16:00:24.959,"700","1002","24","62.6","1001","65","22",
05/20/26 16:00:29.959,"700","1002","24","62.6","1001","65","22",
05/20/26 16:00:34.959,"700","1002","24","62.5","1001","65","22",
05/20/26 16:00:39.959,"700","1002","24","62.4","1001","65","22",
05/20/26 16:00:44.959,"700","1002","24","62.5","1001","65","22",
05/20/26 16:00:49.960,"700","1002","24","62.3","1001","65","22",
05/20/26 16:00:54.960,"700","1002","24","62.3","1001","65","22",
05/20/26 16:00:59.960,"700","1002","24","62.3","1001","65","22",
05/20/26 16:01:04.960,"600","1002","24","62.1","1001","65","22",
05/20/26 16:01:09.960,"700","1002","24","62.3","1001","65","22",
05/20/26 16:01:14.960,"600","1002","24","62.3","1001","65","22",
05/20/26 16:01:19.960,"600","1002","24","62.4","1001","65","22",
05/20/26 16:01:24.960,"600","1002","24","62.3","1001","65","22",
05/20/26 16:01:29.960,"600","1002","24","62.3","1001","65","22",
05/20/26 16:01:34.960,"600","1002","23.9","62.2","1001","65","22",
05/20/26 16:01:39.960,"600","1002","23.9","62.3","1001","65","22",
05/20/26 16:01:44.960,"600","1002","23.9","62.4","1001","65","22",
05/20/26 16:01:49.960,"600","1002","23.9","62.3","1001","65","22",
05/20/26 16:01:54.960,"600","1002","23.9","62.2","1001","65","22",
05/20/26 16:01:59.961,"600","1002","23.9","62.4","1001","65","21.9",
05/20/26 16:02:04.961,"600","1002","23.8","62.8","1001","65","21.9",
05/20/26 16:02:09.960,"600","1002","23.9","62.9","1001","65","21.9",
05/20/26 16:02:14.960,"600","1002","23.8","62.9","1001","65","21.9",
05/20/26 16:02:19.960,"600","1002","23.8","63.4","1001","66","21.9",
05/20/26 16:02:24.960,"600","1002","23.8","63","1001","66","21.9",
05/20/26 16:02:29.961,"600","1002","23.8","63","1001","65","21.9",
05/20/26 16:02:34.961,"600","1002","23.9","63.3","1001","66","21.9",
05/20/26 16:02:39.961,"600","1002","23.9","63.3","1001","66","21.9",
05/20/26 16:02:44.960,"600","1002","23.9","63.6","1001","66","21.9",
05/20/26 16:02:49.961,"600","1002","23.9","63.2","1001","66","21.9",
05/20/26 16:02:54.961,"500","1002","23.9","63.2","1001","66","21.9",
05/20/26 16:02:59.960,"500","1002","23.9","62.9","1001","66","21.9",
