Raw data,,,C0,40300,time (s),time (mins),CO2,C/C0,C (%),1-C/C0,Integration,,Unit conversion,,,
35:07.0,0,3948280506.97,,0.0403,0,0.0,0,0.0000,0.00,1.0000,,,P,101325,Pa,
35:17.5,0,3948280517.45,,,10,0.2,0,0.0000,0.00,1.0000,0.1747,,R,8.314,J/molK,
35:28.1,0,3948280528.07,,,21,0.4,0,0.0000,0.00,1.0000,0.1769,,v,50,ml/min,
35:38.9,0,3948280538.91,,,32,0.5,0,0.0000,0.00,1.0000,0.1808,,T,296.15,K,
35:49.7,0,3948280549.70,,,43,0.7,0,0.0000,0.00,1.0000,0.1797,,PV/RT,2057.618517,,
36:00.5,0,3948280560.52,,,54,0.9,0,0.0000,0.00,1.0000,0.1803,,,,,
36:11.5,0,3948280571.51,,,65,1.1,0,0.0000,0.00,1.0000,0.1833,,,,,
36:21.9,0,3948280581.87,,,75,1.2,0,0.0000,0.00,1.0000,0.1726,,,,,
36:32.1,0,3948280592.09,,,85,1.4,0,0.0000,0.00,1.0000,0.1703,,,,,
36:43.3,0,3948280603.25,,,96,1.6,0,0.0000,0.00,1.0000,0.1860,,,,,
36:53.7,0,3948280613.69,,,107,1.8,0,0.0000,0.00,1.0000,0.1740,,,,,
37:04.4,0,3948280624.36,,,117,2.0,0,0.0000,0.00,1.0000,0.1778,,,,,
37:14.9,0,3948280634.93,,,128,2.1,0,0.0000,0.00,1.0000,0.1761,,,,,
37:25.6,0,3948280645.55,,,139,2.3,0,0.0000,0.00,1.0000,0.1771,,,,,
37:36.4,0,3948280656.42,,,149,2.5,0,0.0000,0.00,1.0000,0.1811,,,,,
37:47.3,0,3948280667.34,,,160,2.7,0,0.0000,0.00,1.0000,0.1820,,,,,
37:57.9,0,3948280677.86,,,171,2.8,0,0.0000,0.00,1.0000,0.1752,,,,,
38:08.8,0,3948280688.84,,,182,3.0,0,0.0000,0.00,1.0000,0.1831,,,,,
38:19.9,0,3948280699.90,,,193,3.2,0,0.0000,0.00,1.0000,0.1844,,,,,
38:30.9,0,3948280710.88,,,204,3.4,0,0.0000,0.00,1.0000,0.1830,,,,,
38:41.9,0,3948280721.91,,,215,3.6,0,0.0000,0.00,1.0000,0.1839,,,,,
38:52.9,0,3948280732.94,,,226,3.8,0,0.0000,0.00,1.0000,0.1837,,,,,
39:04.1,0,3948280744.06,,,237,4.0,0,0.0000,0.00,1.0000,0.1854,,,,,
39:14.9,0,3948280754.88,,,248,4.1,0,0.0000,0.00,1.0000,0.1803,,,,,
39:25.8,0,3948280765.81,,,259,4.3,0,0.0000,0.00,1.0000,0.1821,,,,,
39:36.8,0,3948280776.85,,,270,4.5,0,0.0000,0.00,1.0000,0.1840,,,,,
39:47.9,0,3948280787.87,,,281,4.7,0,0.0000,0.00,1.0000,0.1837,,,,,
39:58.8,0,3948280798.83,,,292,4.9,0,0.0000,0.00,1.0000,0.1827,,,,,
40:09.9,0,3948280809.87,,,303,5.0,0,0.0000,0.00,1.0000,0.1840,,,,,
40:21.0,0,3948280820.95,,,314,5.2,0,0.0000,0.00,1.0000,0.1848,,,,,
40:32.0,0,3948280832.04,,,325,5.4,0,0.0000,0.00,1.0000,0.1848,,,,,
40:43.3,0,3948280843.29,,,336,5.6,0,0.0000,0.00,1.0000,0.1875,,,,,
40:54.5,0,3948280854.49,,,348,5.8,0,0.0000,0.00,1.0000,0.1867,,,,,
41:05.8,0,3948280865.81,,,359,6.0,0,0.0000,0.00,1.0000,0.1887,,,,,
41:17.9,0,3948280877.87,,,371,6.2,0,0.0000,0.00,1.0000,0.2010,,,,,
41:29.5,0,3948280889.55,,,383,6.4,0,0.0000,0.00,1.0000,0.1945,,,,,
41:41.5,400,3948280901.46,,,394,6.6,400,0.0099,0.04,0.9901,0.1965,,,,,
41:53.1,700,3948280913.06,,,406,6.8,700,0.0174,0.07,0.9826,0.1901,,,,,
42:04.7,1600,3948280924.71,,,418,7.0,1600,0.0397,0.16,0.9603,0.1863,time,0.05,2015,0.002015,0.95
42:16.1,3000,3948280936.07,,,429,7.2,3000,0.0744,0.30,0.9256,0.1753,7.02,0.95,0.05,,
42:27.4,4700,3948280947.42,,,440,7.3,4700,0.1166,0.47,0.8834,0.1671,39.88,7.00,,,
42:38.9,6200,3948280958.90,,,452,7.5,6200,0.1538,0.62,0.8462,0.1618,,,,,
42:50.4,7700,3948280970.37,,,463,7.7,7700,0.1911,0.77,0.8089,0.1547,,,,,
43:01.9,9100,3948280981.91,,,475,7.9,9100,0.2258,0.91,0.7742,0.1489,,,,,
43:13.6,10200,3948280993.58,,,487,8.1,10200,0.2531,1.02,0.7469,0.1453,,,,,
43:25.2,11300,3948281005.22,,,498,8.3,11300,0.2804,1.13,0.7196,0.1396,,,,,
43:36.8,12600,3948281016.79,,,510,8.5,12600,0.3127,1.26,0.6873,0.1326,,,,,
43:48.8,13700,3948281028.77,,,522,8.7,13700,0.3400,1.37,0.6600,0.1318,,,,,
44:01.0,15000,3948281041.01,,,534,8.9,15000,0.3722,1.50,0.6278,0.1280,,,,,
44:14.8,16200,3948281054.81,,,548,9.1,16200,0.4020,1.62,0.5980,0.1376,,,,,
44:27.6,17100,3948281067.56,,,561,9.3,17100,0.4243,1.71,0.5757,0.1223,,,,,
44:39.7,18100,3948281079.71,,,573,9.5,18100,0.4491,1.81,0.5509,0.1116,,,,,
44:51.9,18800,3948281091.94,,,585,9.7,18800,0.4665,1.88,0.5335,0.1087,,,,,
45:04.3,19600,3948281104.27,,,597,10.0,19600,0.4864,1.96,0.5136,0.1056,,,,,
45:16.4,20400,3948281116.38,,,609,10.2,20400,0.5062,2.04,0.4938,0.0996,,,,,
45:28.2,20900,3948281128.17,,,621,10.4,20900,0.5186,2.09,0.4814,0.0947,,,,,
45:40.1,21400,3948281140.13,,,633,10.6,21400,0.5310,2.14,0.4690,0.0934,,,,,
45:52.3,22000,3948281152.29,,,645,10.8,22000,0.5459,2.20,0.4541,0.0920,,,,,
46:04.7,22600,3948281164.70,,,658,11.0,22600,0.5608,2.26,0.4392,0.0908,,,,,
46:17.0,23200,3948281177.01,,,670,11.2,23200,0.5757,2.32,0.4243,0.0871,,,,,
46:29.3,23800,3948281189.30,,,682,11.4,23800,0.5906,2.38,0.4094,0.0839,,,,,
46:41.8,24200,3948281201.79,,,695,11.6,24200,0.6005,2.42,0.3995,0.0831,,,,,
46:54.2,24600,3948281214.21,,,707,11.8,24600,0.6104,2.46,0.3896,0.0807,,,,,
47:07.2,25000,3948281227.23,,,720,12.0,25000,0.6203,2.50,0.3797,0.0824,,,,,
47:19.9,25300,3948281239.88,,,733,12.2,25300,0.6278,2.53,0.3722,0.0785,,,,,
47:32.6,25800,3948281252.63,,,746,12.4,25800,0.6402,2.58,0.3598,0.0764,,,,,
47:46.0,26000,3948281266.01,,,759,12.7,26000,0.6452,2.60,0.3548,0.0791,,,,,
47:58.9,26500,3948281278.88,,,772,12.9,26500,0.6576,2.65,0.3424,0.0734,,,,,
48:11.7,26700,3948281291.71,,,785,13.1,26700,0.6625,2.67,0.3375,0.0722,,,,,
48:24.2,27000,3948281304.22,,,797,13.3,27000,0.6700,2.70,0.3300,0.0688,,,,,
