Time+F36B1A1:FA1:B1425,Concentration
05/22/26 11:16:45.573,27400
05/22/26 11:16:51.080,27800
05/22/26 11:16:56.533,28200
05/22/26 11:17:02.023,28500
05/22/26 11:17:07.572,28900
05/22/26 11:17:13.141,29300
05/22/26 11:17:18.658,29700
05/22/26 11:17:24.104,30100
05/22/26 11:17:29.601,30600
05/22/26 11:17:35.159,30900
05/22/26 11:17:40.787,31100
05/22/26 11:17:46.430,31700
05/22/26 11:17:52.054,32000
05/22/26 11:17:57.588,32200
05/22/26 11:18:03.141,32600
05/22/26 11:18:08.723,33200
05/22/26 11:18:14.387,33500
05/22/26 11:18:19.977,33600
05/22/26 11:18:25.498,33900
05/22/26 11:18:31.058,34300
05/22/26 11:18:36.664,34700
05/22/26 11:18:42.304,35100
05/22/26 11:18:47.951,35300
05/22/26 11:18:53.622,35600
05/22/26 11:18:59.250,35800
05/22/26 11:19:04.932,36300
05/22/26 11:19:10.519,36700
05/22/26 11:19:16.206,37000
05/22/26 11:19:21.761,37100
05/22/26 11:19:27.302,37300
05/22/26 11:19:32.909,37700
05/22/26 11:19:38.581,38000
05/22/26 11:19:44.144,38600
05/22/26 11:19:49.774,38700
05/22/26 11:19:55.369,39300
05/22/26 11:20:00.952,39400
05/22/26 11:20:06.741,39600
05/22/26 11:20:12.413,40100
05/22/26 11:20:18.143,40200
05/22/26 11:20:23.594,40500
05/22/26 11:20:28.750,40600
05/22/26 11:20:34.053,41000
05/22/26 11:20:39.284,41400
05/22/26 11:20:44.556,41500
05/22/26 11:20:49.794,41800
05/22/26 11:20:55.036,41900
05/22/26 11:21:00.289,42400
05/22/26 11:21:05.565,42300
05/22/26 11:21:10.829,42500
05/22/26 11:21:16.161,42700
05/22/26 11:21:21.469,42900
05/22/26 11:21:26.857,43000
05/22/26 11:21:32.133,43400
05/22/26 11:21:37.442,43700
05/22/26 11:21:42.708,43800
05/22/26 11:21:47.976,44000
05/22/26 11:21:53.271,44000
05/22/26 11:21:58.542,44500
05/22/26 11:22:03.792,44700
05/22/26 11:22:09.075,44900
05/22/26 11:22:14.393,44900
05/22/26 11:22:19.798,45200
05/22/26 11:22:25.112,45700
05/22/26 11:22:30.355,45700
05/22/26 11:22:35.698,45800
05/22/26 11:22:41.046,46000
05/22/26 11:22:46.384,46500
05/22/26 11:22:51.626,46500
05/22/26 11:22:56.990,47000
05/22/26 11:23:02.325,47100
05/22/26 11:23:07.585,47200
05/22/26 11:23:12.912,47300
05/22/26 11:23:18.221,47600
05/22/26 11:23:23.506,47800
05/22/26 11:23:28.830,47900
05/22/26 11:23:34.160,48000
05/22/26 11:23:39.510,47900
05/22/26 11:23:44.905,48200
05/22/26 11:23:50.184,48600
05/22/26 11:23:55.508,48700
05/22/26 11:24:00.860,48800
05/22/26 11:24:06.222,48900
05/22/26 11:24:11.607,49300
05/22/26 11:24:16.992,49400
05/22/26 11:24:22.368,49600
05/22/26 11:24:27.709,49700
05/22/26 11:24:33.055,50000
05/22/26 11:24:38.381,49800
05/22/26 11:24:43.830,50100
05/22/26 11:24:49.250,50500
05/22/26 11:24:54.673,50900
05/22/26 11:25:00.182,50900
05/22/26 11:25:05.587,50900
05/22/26 11:25:11.003,51000
05/22/26 11:25:16.409,51000
05/22/26 11:25:21.825,51000
05/22/26 11:25:27.277,51000
05/22/26 11:25:32.722,51600
05/22/26 11:25:38.102,51700
05/22/26 11:25:43.621,52000
05/22/26 11:25:48.999,52400
05/22/26 11:25:54.416,52400
05/22/26 11:25:59.877,52600
05/22/26 11:26:05.292,52600
05/22/26 11:26:10.665,52800
05/22/26 11:26:16.089,53100
05/22/26 11:26:21.478,53300
05/22/26 11:26:26.887,53700
05/22/26 11:26:32.408,53400
05/22/26 11:26:37.921,54000
05/22/26 11:26:43.508,54100
05/22/26 11:26:49.035,54500
05/22/26 11:26:54.555,54400
05/22/26 11:27:00.135,54200
05/22/26 11:27:05.733,54000
05/22/26 11:27:11.260,54900
05/22/26 11:27:16.875,55000
05/22/26 11:27:22.492,55300
05/22/26 11:27:28.113,55300
05/22/26 11:27:33.656,55700
05/22/26 11:27:39.281,55500
05/22/26 11:27:44.835,55800
05/22/26 11:27:50.476,55700
05/22/26 11:27:56.137,56200
05/22/26 11:28:01.658,56000
05/22/26 11:28:07.209,56200
05/22/26 11:28:12.795,56400
05/22/26 11:28:18.364,56200
05/22/26 11:28:23.983,56500
05/22/26 11:28:29.621,57000
05/22/26 11:28:35.240,57600
05/22/26 11:28:40.907,57800
05/22/26 11:28:46.498,57900
05/22/26 11:28:52.075,57900
05/22/26 11:28:57.657,58100
05/22/26 11:29:03.269,57800
05/22/26 11:29:08.922,57900
05/22/26 11:29:14.516,58000
05/22/26 11:29:20.152,58000
05/22/26 11:29:25.783,58100
05/22/26 11:29:31.374,58600
05/22/26 11:29:36.950,59000
05/22/26 11:29:42.540,58500
05/22/26 11:29:48.213,59200
05/22/26 11:29:53.877,59300
05/22/26 11:29:59.566,58800
05/22/26 11:30:05.250,59300
05/22/26 11:30:10.912,59200
05/22/26 11:30:16.549,59400
05/22/26 11:30:22.217,59600
05/22/26 11:30:27.897,59900
05/22/26 11:30:33.600,60200
05/22/26 11:30:39.265,60200
05/22/26 11:30:44.943,60400
05/22/26 11:30:50.628,60400
05/22/26 11:30:56.338,60600
05/22/26 11:31:02.089,60600
05/22/26 11:31:07.842,60600
05/22/26 11:31:13.557,60400
05/22/26 11:31:19.277,60800
05/22/26 11:31:25.042,61200
05/22/26 11:31:30.705,61300
05/22/26 11:31:36.426,61300
05/22/26 11:31:42.210,61700
05/22/26 11:31:47.876,61700
05/22/26 11:31:53.568,61600
05/22/26 11:31:59.251,62000
05/22/26 11:32:05.016,62100
05/22/26 11:32:10.781,62000
05/22/26 11:32:16.510,62600
05/22/26 11:32:22.183,63000
05/22/26 11:32:27.917,62900
