05/29/26 15:00:17.098,0
05/29/26 15:00:40.684,10
05/29/26 15:01:03.988,0
05/29/26 15:01:27.396,0
05/29/26 15:01:50.864,20
05/29/26 15:02:14.369,0
05/29/26 15:02:37.841,50
05/29/26 15:03:01.508,6080
05/29/26 15:03:25.086,17610
05/29/26 15:03:48.752,28200
05/29/26 15:04:12.454,37520
05/29/26 15:04:36.201,45220
05/29/26 15:04:59.893,52660
05/29/26 15:05:23.940,58490
05/29/26 15:05:47.867,64460
05/29/26 15:06:11.741,69300
05/29/26 15:06:35.683,73860
05/29/26 15:06:59.624,78210
05/29/26 15:07:23.498,81670
05/29/26 15:07:47.432,85020
05/29/26 15:08:11.409,89310
05/29/26 15:08:35.614,90760
05/29/26 15:08:59.643,93510
05/29/26 15:09:23.808,97090
05/29/26 15:09:47.899,99440
05/29/26 15:10:12.174,102010
05/29/26 15:10:36.475,103310
05/29/26 15:11:00.512,105880
05/29/26 15:11:24.679,107650
05/29/26 15:11:48.993,109070
05/29/26 15:12:13.169,111500
05/29/26 15:12:37.534,112650
05/29/26 15:13:02.089,113410
05/29/26 15:13:26.542,115220
05/29/26 15:13:50.970,116130
05/29/26 15:14:15.779,117650
05/29/26 15:14:40.287,118770
05/29/26 15:15:04.836,118920
05/29/26 15:15:29.846,120360
05/29/26 15:15:54.584,120830
05/29/26 15:16:19.337,124090
05/29/26 15:16:44.126,123590
05/29/26 15:17:08.870,124760
05/29/26 15:17:33.763,126600
05/29/26 15:17:58.678,127110
05/29/26 15:18:23.657,127440
05/29/26 15:18:48.585,127610
05/29/26 15:19:13.679,128840
05/29/26 15:19:38.840,129010
05/29/26 15:20:03.876,130070
05/29/26 15:20:29.112,131480
05/29/26 15:20:54.391,130780
05/29/26 15:21:19.667,131310
05/29/26 15:21:45.337,132550
05/29/26 15:22:10.662,133250
05/29/26 15:22:36.074,133790
05/29/26 15:23:01.637,135470
05/29/26 15:23:27.305,134350
05/29/26 15:23:52.943,135280
05/29/26 15:24:18.541,135650
05/29/26 15:24:44.196,134530
05/29/26 15:25:10.117,135470
05/29/26 15:25:35.749,136210
05/29/26 15:26:01.499,135470
05/29/26 15:26:27.309,137140
05/29/26 15:26:53.218,137510
05/29/26 15:27:19.030,137890
05/29/26 15:27:45.119,138450
05/29/26 15:28:11.139,137890
05/29/26 15:28:37.284,138810
05/29/26 15:29:03.451,137510
05/29/26 15:29:29.739,139760
05/29/26 15:29:55.978,138810
05/29/26 15:30:22.262,137890
05/29/26 15:30:50.403,139560
05/29/26 15:31:18.932,138260
05/29/26 15:31:38.054,140350
05/29/26 15:31:57.237,140750
05/29/26 15:32:16.473,141330
05/29/26 15:32:36.136,140350
05/29/26 15:32:56.618,141330
05/29/26 15:33:17.914,140350
05/29/26 15:33:40.454,140940
05/29/26 15:34:04.727,142120
05/29/26 15:34:31.186,141720
05/29/26 15:34:58.103,141140
05/29/26 15:35:25.592,140940
05/29/26 15:35:52.588,141140
05/29/26 15:36:19.547,142320
05/29/26 15:36:46.662,142120
05/29/26 15:37:13.733,143300
05/29/26 15:37:40.895,143300
05/29/26 15:38:08.124,143690
05/29/26 15:38:35.539,143500
05/29/26 15:39:02.809,142900
05/29/26 15:39:30.085,144080
05/29/26 15:39:57.654,143890
