run_id,fmt,code,name,converged,n,p,RSS,R2,AdjR2,RMSE,chi2_red,AIC,AICc,W_AICc,AAD,params,stderr,message,t_b,t_E,t50,q_dyn_mol_per_kg,L_MTZ_m,efficiency
May-22-2026-conc10_flow-0.1(2),A,M01,Yoon-Nelson / Thomas / BA (logistic),True,1993,2,2006.0218925289414,-0.17921943489446068,-0.17981170984920425,1.0037653601847654,1.0075448983068516,16.979535614451905,16.985565765205674,2.4602491062360037e-190,95.78854861130972,k_YN=1;tau=357.632,k_YN=0;tau=0,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M02,Clark,True,1993,3,2006.021729384187,-0.1792193389914869,-0.18040448405580012,1.0037653193678984,1.0080511202935614,18.979373528729063,18.991439893736604,9.024207026362605e-191,95.78807116437358,r=0.0438883;A=992960;n=1.30034,r=2.93972;A=4.56573e-06;n=145.401,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M03,Fractal Clark,True,1993,4,2006.0218968373326,-0.17921943742710433,-0.18099804894660232,1.0037653612626731,1.0085580175149989,20.97953989487583,20.999660619221906,3.3062025783882893e-191,95.7881984081714,r=0.0361996;A0=1719.45;n=1.01034;h=0.000320261,r=2577.45;A0=4.89229e+08;n=1583.44;h=12198.4,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M04,Modified Dose-Response (Yan),True,1993,2,2006.0218006795476,-0.17921938090173484,-0.17981165582935987,1.0037653372051454,1.0075448521745594,16.979444361287236,16.985474512041005,2.4603613615553067e-190,95.78811430194894,a=20;t50=357.532,a=3390.53;t50=12325.3,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M05,"Wolborska (linearised, early)",True,115,2,0.06483129200350682,0.06723200385204875,0.058977419815341214,0.023952625071558323,0.0005737282478186444,-856.3033872146443,-856.1962443575014,0.5,1.2590954057320038,slope=0.00059978;intercept=-5.11503,slope=0.000131312;intercept=0.339704,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M06,Gudermannian (Hu 2021),True,1993,2,2006.0218925289414,-0.17921943489446068,-0.17981170984920425,1.0037653601847654,1.0075448983068516,16.979535614451905,16.985565765205674,2.4602491062360037e-190,95.78854861130972,k=1;tau=357.632,k=0;tau=0,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M07,Error-Function (Hu 2021),True,1993,2,2006.0218925289414,-0.17921943489446068,-0.17981170984920425,1.0037653601847654,1.0075448983068516,16.979535614451905,16.985565765205674,2.4602491062360037e-190,95.78854861130972,k=1;tau=357.632,k=0;tau=0,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M08,Tanh (Hu 2019),True,1993,2,2006.0218925289414,-0.17921943489446068,-0.17981170984920425,1.0037653601847654,1.0075448983068516,16.979535614451905,16.985565765205674,2.4602491062360037e-190,95.78854861130972,k=1;tau=357.632,k=0;tau=0,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M09,Log-Normal (Chu-Hashim),True,1993,2,2006.0216984647782,-0.17921932081582903,-0.17981159571327532,1.003765311632232,1.0075448008361518,16.979342810027802,16.98537296078157,2.4604862911245025e-190,95.78804931760743,a=0.11226;b=5.92511,a=27.1847;b=59.963,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M10,Fractal Gudermannian (Hu 2024),True,1993,3,2006.0216762989357,-0.17921930778586526,-0.18040445281881579,1.0037653060866032,1.0080510936175557,18.979320788070524,18.991387153078065,9.024445000810716e-191,95.78801783645059,k0=0.593663;tau0=349.233;h=0.384583,k0=26835.8;tau0=136603;h=8383.3,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M11,Fractal Error-Function (Hu 2024),True,1993,3,2006.0218925289414,-0.17921943489446068,-0.18040458005515858,1.0037653601847654,1.0080512022758499,18.979535614451905,18.991601979459446,9.023475708437421e-191,95.78854861130972,k0=1;tau0=357.632;h=0.1,k0=0;tau0=0;h=0,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M12,Gompertz (Chu 2020),True,1993,2,2006.0217356193343,-0.17921934265675454,-0.17981161756517072,1.0037653209278579,1.0075448194974055,16.979379723401934,16.985409874155703,2.4604408791180237e-190,95.78805008519994,alpha_G=17.4295;beta_G=0.0544713,alpha_G=3.44107e+06;beta_G=11748.7,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M13,Log-Gompertz (Chu 2020),True,1993,2,2006.1391628637648,-0.17928837106034967,-0.17988068063898366,1.0037946993908893,1.007603798525246,17.0960412951279,17.10207144588167,2.3210270163299843e-190,95.79478316435015,alpha_G=49.9679;beta_G=8.70043,alpha_G=644.234;beta_G=113.59,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M14,Weibull (Chu 2021),True,1993,2,2006.0214993477225,-0.17921920376690603,-0.17981147860556335,1.0037652618155228,1.0075447008275853,16.979144985491754,16.985175136245523,2.460729675440627e-190,95.78770067966379,tau=477.005;k=8.13496,tau=28667.6;k=950.61,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M15,Avrami (Singh),True,1993,2,2008.2575727472897,-0.18053365662529242,-0.181126591661267,1.0043245448733704,1.0086677914351028,19.19946632649672,19.205496477250488,8.108252291618268e-191,95.92506794464525,k=8.64148e-05;n=1.68624,k=0.00151821;n=3.26428,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M16,Klinkenberg,True,1993,2,2012.9249587828845,-0.18327733172865313,-0.18387164480335372,1.0054909415516298,1.011012033542383,23.826018080038963,23.832048230792733,8.02203043040653e-192,96.11065023201533,K_fa=1;K=153.158,K_fa=3.25913;K=219.076,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M17,Dima (wave erf),True,1993,2,2011.7342742206313,-0.1825773999971665,-0.183171361524036,1.005193513762805,1.0104140001108144,22.646770713034833,22.652800863788602,1.4466205068354728e-191,96.08652130037765,v_d=0.288281;sigma_a=73.7629,v_d=31.3763;sigma_a=8181.15,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M18,Chern-Chien Langmuir,True,0,4,inf,,,inf,inf,inf,inf,,inf,K_fa=0.0111847;K_L=1;q0=1;t12=357.632,K_fa=0;K_L=0;q0=0;t12=0,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M19,Chern-Chien Freundlich,True,0,4,inf,,,inf,inf,inf,inf,,inf,K_fa=0.0111847;n=2;q0=1;t12=357.632,K_fa=0;n=0;q0=0;t12=0,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
May-22-2026-conc10_flow-0.1(2),A,M20,Log-modified Bohart-Adams,True,1993,2,2006.0216932856722,-0.1792193177713446,-0.17981159266726188,1.0037653103364814,1.007544798234893,16.979337664541116,16.985367815294886,2.460492621332296e-190,95.7880497894819,k_BA=24.0207;log_a0_C0=5.8544,k_BA=5802.07;log_a0_C0=42.679,converged,297.86444565315514,417.3990031145617,357.63172438385845,9.802173700477797e-05,0.278463315814036,
