"Mass: 8g
Bed height: 225 mm 
Flow rate: 100 ml/min
CO2: 10% (99400 ppm)
Tube diameter: 8.2 mm",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Mass,8,g,,tb,4.08,min,,,tb,qb ,te,qe ,actual b,actual e
,,,,,,,,R,8.314,J/molK,,qb,0.10,mmol/g,,Lower,4.083366667,0.102435026,46.79505,0.372034489,0.043259557,0.94668008
,,,,,,,,P,101300,Pa,,te,50.92,min,,Upper,4.166716667,0.104424539,51.69,0.377900731,0.051307847,0.956740443
,,,,,,,,v,0.05,dm3/min,,qe,0.38,mmol/g,,Value,4.153172292,0.104101243,48.4103835,0.379801394,,
, ,,,,,,,C0,99400,ppm,,,,,,,,,,,,
Time,Time (min),CO2,C/C0,Pressure,Temperature,Humidity,Flow,Mol adsorbed,Total (mol),mmol/g,,,,,,,,,,,,
55:03.7,0.00,0,0,1013,27.8,55.3,0.05,0.0000,0.0000,`,,07/31/26,55:03.7,,,,,,,,,
55:08.7,0.08,0,0,1013,27.8,55.3,0.05,0.0000,0.0000,0.0021,,07/31/26,55:08.7,,,,,,,,,
55:13.7,0.17,0,0,1013,27.8,55.3,0.05,0.0000,0.0000,0.0042,,07/31/26,55:13.7,,,,,,,,,
55:18.7,0.25,0,0,1013,27.8,55.3,0.05,0.0000,0.0001,0.0063,,07/31/26,55:18.7,,,,,,,,,
55:23.7,0.33,0,0,1013,27.8,55.3,0.05,0.0000,0.0001,0.0084,,07/31/26,55:23.7,,,,,,,,,
55:28.7,0.42,0,0,1013,27.8,55.3,0.05,0.0000,0.0001,0.0105,,07/31/26,55:28.7,,,,,,,,,
55:33.7,0.50,0,0,1013,27.7,55.3,0.05,0.0000,0.0001,0.0126,,07/31/26,55:33.7,,,,,,,,,
55:38.7,0.58,0,0,1013,27.7,55.3,0.05,0.0000,0.0001,0.0147,,07/31/26,55:38.7,,,,,,,,,
55:43.7,0.67,0,0,1013,27.7,55.3,0.05,0.0000,0.0001,0.0168,,07/31/26,55:43.7,,,,,,,,,
55:48.7,0.75,0,0,1013,27.7,55.3,0.05,0.0000,0.0002,0.0189,,07/31/26,55:48.7,,,,,,,,,
55:53.7,0.83,0,0,1013,27.8,55.3,0.05,0.0000,0.0002,0.0210,,07/31/26,55:53.7,,,,,,,,,
55:58.7,0.92,0,0,1013,27.7,55.3,0.05,0.0000,0.0002,0.0231,,07/31/26,55:58.7,,,,,,,,,
56:03.7,1.00,0,0,1013,27.7,55.2,0.05,0.0000,0.0002,0.0252,,07/31/26,56:03.7,,,,,,,,,
56:08.7,1.08,0,0,1013,27.7,55.2,0.05,0.0000,0.0002,0.0273,,07/31/26,56:08.7,,,,,,,,,
56:13.7,1.17,0,0,1013,27.7,55.2,0.05,0.0000,0.0002,0.0293,,07/31/26,56:13.7,,,,,,,,,
56:18.7,1.25,0,0,1013,27.7,55.2,0.05,0.0000,0.0003,0.0314,,07/31/26,56:18.7,,,,,,,,,
56:23.7,1.33,0,0,1013,27.7,55.3,0.05,0.0000,0.0003,0.0335,,07/31/26,56:23.7,,,,,,,,,
56:28.7,1.42,0,0,1013,27.7,55.3,0.05,0.0000,0.0003,0.0356,,07/31/26,56:28.7,,,,,,,,,
56:33.7,1.50,0,0,1013,27.7,55.3,0.05,0.0000,0.0003,0.0377,,07/31/26,56:33.7,,,,,,,,,
56:38.7,1.58,0,0,1013,27.7,55.3,0.05,0.0000,0.0003,0.0398,,07/31/26,56:38.7,,,,,,,,,
56:43.7,1.67,0,0,1013,27.7,55.3,0.05,0.0000,0.0003,0.0419,,07/31/26,56:43.7,,,,,,,,,
56:48.7,1.75,0,0,1013,27.7,55.3,0.05,0.0000,0.0004,0.0440,,07/31/26,56:48.7,,,,,,,,,
56:53.7,1.83,0,0,1013,27.7,55.3,0.05,0.0000,0.0004,0.0461,,07/31/26,56:53.7,,,,,,,,,
56:58.7,1.92,0,0,1013,27.7,55.3,0.05,0.0000,0.0004,0.0482,,07/31/26,56:58.7,,,,,,,,,
57:03.7,2.00,0,0,1013,27.7,55.3,0.05,0.0000,0.0004,0.0503,,07/31/26,57:03.7,,,,,,,,,
57:08.7,2.08,0,0,1013,27.7,55.3,0.05,0.0000,0.0004,0.0524,,07/31/26,57:08.7,,,,,,,,,
57:13.7,2.17,0,0,1013,27.7,55.3,0.05,0.0000,0.0004,0.0545,,07/31/26,57:13.7,,,,,,,,,
57:18.7,2.25,0,0,1013,27.7,55.3,0.05,0.0000,0.0005,0.0566,,07/31/26,57:18.7,,,,,,,,,
57:23.7,2.33,0,0,1013,27.7,55.3,0.05,0.0000,0.0005,0.0587,,07/31/26,57:23.7,,,,,,,,,
57:28.7,2.42,0,0,1013,27.7,55.3,0.05,0.0000,0.0005,0.0608,,07/31/26,57:28.7,,,,,,,,,
57:33.7,2.50,0,0,1013,27.7,55.3,0.05,0.0000,0.0005,0.0629,,07/31/26,57:33.7,,,,,,,,,
57:38.7,2.58,0,0,1013,27.7,55.3,0.05,0.0000,0.0005,0.0650,,07/31/26,57:38.7,,,,,,,,,
57:43.7,2.67,0,0,1013,27.7,55.3,0.05,0.0000,0.0005,0.0671,,07/31/26,57:43.7,,,,,,,,,
57:48.7,2.75,0,0,1013,27.7,55.3,0.05,0.0000,0.0006,0.0692,,07/31/26,57:48.7,,,,,,,,,
57:53.7,2.83,0,0,1013,27.7,55.3,0.05,0.0000,0.0006,0.0713,,07/31/26,57:53.7,,,,,,,,,
57:58.7,2.92,0,0,1013,27.7,55.3,0.05,0.0000,0.0006,0.0734,,07/31/26,57:58.7,,,,,,,,,
58:03.7,3.00,0,0,1013,27.7,55.3,0.05,0.0000,0.0006,0.0755,,07/31/26,58:03.7,,,,,,,,,
58:08.7,3.08,0,0,1013,27.7,55.3,0.05,0.0000,0.0006,0.0776,,07/31/26,58:08.7,,,,,,,,,
58:13.7,3.17,0,0,1013,27.7,55.3,0.05,0.0000,0.0006,0.0797,,07/31/26,58:13.7,,,,,,,,,
58:18.7,3.25,0,0,1013,27.7,55.3,0.05,0.0000,0.0007,0.0818,,07/31/26,58:18.7,,,,,,,,,
58:23.7,3.33,0,0,1013,27.7,55.2,0.05,0.0000,0.0007,0.0839,,07/31/26,58:23.7,,,,,,,,,
58:28.7,3.42,0,0,1013,27.7,55.2,0.05,0.0000,0.0007,0.0860,,07/31/26,58:28.7,,,,,,,,,
58:33.7,3.50,100,0.001006036,1013,27.7,55.2,0.05,0.0000,0.0007,0.0881,,07/31/26,58:33.7,,,,,,,,,
58:38.7,3.58,500,0.005030181,1013,27.7,55.2,0.05,0.0000,0.0007,0.0901,,07/31/26,58:38.7,,,,,,,,,
58:43.7,3.67,700,0.007042254,1013,27.7,55.2,0.05,0.0000,0.0007,0.0922,,07/31/26,58:43.7,,,,,,,,,
58:48.7,3.75,1200,0.012072435,1013,27.7,55.2,0.05,0.0000,0.0008,0.0943,,07/31/26,58:48.7,,,,,,,,,
58:53.7,3.83,1700,0.017102616,1013,27.7,55.2,0.05,0.0000,0.0008,0.0964,,07/31/26,58:53.7,,,,,,,,,
58:58.7,3.92,2400,0.024144869,1013,27.7,55.2,0.05,0.0000,0.0008,0.0984,,07/31/26,58:58.7,,,,,,,,,
59:03.7,4.00,3300,0.033199195,1013,27.7,55.2,0.05,0.0000,0.0008,0.1004,,07/31/26,59:03.7,,,,,,,,,
59:08.7,4.08,4300,0.043259557,1013,27.7,55.2,0.05,0.0000,0.0008,0.1024,,07/31/26,59:08.7,,,,,,,,,
59:13.7,4.17,5100,0.051307847,1013,27.7,55.2,0.05,0.0000,0.0008,0.1044,,07/31/26,59:13.7,,,,,,,,,
59:18.7,4.25,5900,0.059356137,1013,27.7,55.2,0.05,0.0000,0.0009,0.1064,,07/31/26,59:18.7,,,,,,,,,
59:23.7,4.33,6800,0.068410463,1013,27.7,55.2,0.05,0.0000,0.0009,0.1083,,07/31/26,59:23.7,,,,,,,,,
59:28.7,4.42,7600,0.076458753,1013,27.7,55.2,0.05,0.0000,0.0009,0.1103,,07/31/26,59:28.7,,,,,,,,,
59:33.7,4.50,8400,0.084507042,1013,27.7,55.2,0.05,0.0000,0.0009,0.1122,,07/31/26,59:33.7,,,,,,,,,
59:38.7,4.58,9200,0.092555332,1013,27.7,55.2,0.05,0.0000,0.0009,0.1141,,07/31/26,59:38.7,,,,,,,,,
59:43.7,4.67,10000,0.100603622,1013,27.7,55.2,0.05,0.0000,0.0009,0.1160,,07/31/26,59:43.7,,,,,,,,,
59:48.7,4.75,10700,0.107645875,1013,27.7,55.2,0.05,0.0000,0.0009,0.1179,,07/31/26,59:48.7,,,,,,,,,
59:53.7,4.83,11600,0.116700201,1013,27.7,55.2,0.05,0.0000,0.0010,0.1197,,07/31/26,59:53.7,,,,,,,,,
59:58.7,4.92,12500,0.125754527,1013,27.7,55.2,0.05,0.0000,0.0010,0.1216,,07/31/26,59:58.7,,,,,,,,,
00:03.7,5.00,13400,0.134808853,1013,27.7,55.2,0.05,0.0000,0.0010,0.1234,,07/31/26,00:03.7,,,,,,,,,
00:08.7,5.08,14200,0.142857143,1013,27.7,55.2,0.05,0.0000,0.0010,0.1252,,07/31/26,00:08.7,,,,,,,,,
00:13.7,5.17,15100,0.151911469,1013,27.7,55.2,0.05,0.0000,0.0010,0.1269,,07/31/26,00:13.7,,,,,,,,,
00:18.7,5.25,15900,0.159959759,1013,27.7,55.2,0.05,0.0000,0.0010,0.1287,,07/31/26,00:18.7,,,,,,,,,
00:23.7,5.33,16700,0.168008048,1013,27.7,55.2,0.05,0.0000,0.0010,0.1304,,07/31/26,00:23.7,,,,,,,,,
00:28.7,5.42,17400,0.175050302,1013,27.7,55.2,0.05,0.0000,0.0011,0.1322,,07/31/26,00:28.7,,,,,,,,,
00:33.7,5.50,18000,0.181086519,1013,27.7,55.2,0.05,0.0000,0.0011,0.1339,,07/31/26,00:33.7,,,,,,,,,
00:38.7,5.58,18900,0.190140845,1013,27.7,55.2,0.05,0.0000,0.0011,0.1356,,07/31/26,00:38.7,,,,,,,,,
00:43.7,5.67,19900,0.200201207,1013,27.7,55.2,0.05,0.0000,0.0011,0.1373,,07/31/26,00:43.7,,,,,,,,,
00:48.7,5.75,20600,0.207243461,1013,27.7,55.2,0.05,0.0000,0.0011,0.1389,,07/31/26,00:48.7,,,,,,,,,
00:53.7,5.83,21300,0.214285714,1013,27.7,55.2,0.05,0.0000,0.0011,0.1406,,07/31/26,00:53.7,,,,,,,,,
00:58.7,5.92,22000,0.221327968,1013,27.7,55.2,0.05,0.0000,0.0011,0.1422,,07/31/26,00:58.7,,,,,,,,,
01:03.7,6.00,22800,0.229376258,1013,27.7,55.2,0.05,0.0000,0.0012,0.1438,,07/31/26,01:03.7,,,,,,,,,
01:08.7,6.08,23700,0.238430584,1013,27.7,55.2,0.05,0.0000,0.0012,0.1454,,07/31/26,01:08.7,,,,,,,,,
01:13.7,6.17,24400,0.245472837,1013,27.7,55.2,0.05,0.0000,0.0012,0.1470,,07/31/26,01:13.7,,,,,,,,,
01:18.7,6.25,25100,0.252515091,1013,27.7,55.2,0.05,0.0000,0.0012,0.1486,,07/31/26,01:18.7,,,,,,,,,
01:23.7,6.33,25700,0.258551308,1013,27.7,55.2,0.05,0.0000,0.0012,0.1501,,07/31/26,01:23.7,,,,,,,,,
01:28.7,6.42,26200,0.263581489,1013,27.7,55.2,0.05,0.0000,0.0012,0.1517,,07/31/26,01:28.7,,,,,,,,,
01:33.7,6.50,27000,0.271629779,1013,27.7,55.2,0.05,0.0000,0.0012,0.1532,,07/31/26,01:33.7,,,,,,,,,
01:38.7,6.58,27700,0.278672032,1013,27.7,55.2,0.05,0.0000,0.0012,0.1547,,07/31/26,01:38.7,,,,,,,,,
01:43.7,6.67,28200,0.283702213,1013,27.7,55.2,0.05,0.0000,0.0012,0.1562,,07/31/26,01:43.7,,,,,,,,,
01:48.7,6.75,28700,0.288732394,1013,27.7,55.2,0.05,0.0000,0.0013,0.1577,,07/31/26,01:48.7,,,,,,,,,
01:53.7,6.83,29600,0.29778672,1013,27.7,55.2,0.05,0.0000,0.0013,0.1592,,07/31/26,01:53.7,,,,,,,,,
01:58.7,6.92,30200,0.303822938,1013,27.7,55.2,0.05,0.0000,0.0013,0.1606,,07/31/26,01:58.7,,,,,,,,,
02:03.7,7.00,30800,0.309859155,1013,27.7,55.1,0.05,0.0000,0.0013,0.1621,,07/31/26,02:03.7,,,,,,,,,
02:08.7,7.08,31400,0.315895372,1013,27.7,55.1,0.05,0.0000,0.0013,0.1635,,07/31/26,02:08.7,,,,,,,,,
02:13.7,7.17,32000,0.32193159,1013,27.7,55.1,0.05,0.0000,0.0013,0.1649,,07/31/26,02:13.7,,,,,,,,,
02:18.7,7.25,32400,0.325955734,1013,27.7,55.1,0.05,0.0000,0.0013,0.1664,,07/31/26,02:18.7,,,,,,,,,
02:23.7,7.33,33100,0.332997988,1013,27.7,55.1,0.05,0.0000,0.0013,0.1677,,07/31/26,02:23.7,,,,,,,,,
02:28.7,7.42,33600,0.338028169,1013,27.7,55.1,0.05,0.0000,0.0014,0.1691,,07/31/26,02:28.7,,,,,,,,,
02:33.7,7.50,34100,0.34305835,1013,27.7,55.1,0.05,0.0000,0.0014,0.1705,,07/31/26,02:33.7,,,,,,,,,
02:38.7,7.58,34600,0.348088531,1013,27.7,55.1,0.05,0.0000,0.0014,0.1719,,07/31/26,02:38.7,,,,,,,,,
02:43.7,7.67,34900,0.35110664,1013,27.7,55.1,0.05,0.0000,0.0014,0.1732,,07/31/26,02:43.7,,,,,,,,,
02:48.7,7.75,35500,0.357142857,1013,27.7,55.1,0.05,0.0000,0.0014,0.1746,,07/31/26,02:48.7,,,,,,,,,
02:53.7,7.83,36200,0.364185111,1013,27.7,55.1,0.05,0.0000,0.0014,0.1759,,07/31/26,02:53.7,,,,,,,,,
02:58.7,7.92,37000,0.3722334,1013,27.7,55.1,0.05,0.0000,0.0014,0.1772,,07/31/26,02:58.7,,,,,,,,,
03:03.7,8.00,37500,0.377263581,1013,27.7,55.1,0.05,0.0000,0.0014,0.1785,,07/31/26,03:03.7,,,,,,,,,
03:08.7,8.08,38200,0.384305835,1013,27.7,55.1,0.05,0.0000,0.0014,0.1798,,07/31/26,03:08.7,,,,,,,,,
03:13.7,8.17,38700,0.389336016,1013,27.7,55.1,0.05,0.0000,0.0014,0.1811,,07/31/26,03:13.7,,,,,,,,,
03:18.7,8.25,39200,0.394366197,1013,27.7,55.1,0.05,0.0000,0.0015,0.1824,,07/31/26,03:18.7,,,,,,,,,
03:23.7,8.33,39700,0.399396378,1013,27.7,55.1,0.05,0.0000,0.0015,0.1836,,07/31/26,03:23.7,,,,,,,,,
03:28.7,8.42,40100,0.403420523,1013,27.7,55.1,0.05,0.0000,0.0015,0.1849,,07/31/26,03:28.7,,,,,,,,,
03:33.7,8.50,40600,0.408450704,1013,27.7,55.1,0.05,0.0000,0.0015,0.1861,,07/31/26,03:33.7,,,,,,,,,
03:38.7,8.58,41000,0.412474849,1013,27.7,55.1,0.05,0.0000,0.0015,0.1874,,07/31/26,03:38.7,,,,,,,,,
03:43.7,8.67,41500,0.41750503,1013,27.7,55.3,0.05,0.0000,0.0015,0.1886,,07/31/26,03:43.7,,,,,,,,,
03:48.7,8.75,42000,0.422535211,1013,27.7,55.1,0.05,0.0000,0.0015,0.1898,,07/31/26,03:48.7,,,,,,,,,
03:53.7,8.83,42400,0.426559356,1013,27.7,55.1,0.05,0.0000,0.0015,0.1910,,07/31/26,03:53.7,,,,,,,,,
03:58.7,8.92,42800,0.430583501,1013,27.7,55.1,0.05,0.0000,0.0015,0.1922,,07/31/26,03:58.7,,,,,,,,,
04:03.7,9.00,43500,0.437625755,1012,27.7,55.1,0.05,0.0000,0.0015,0.1934,,07/31/26,04:03.7,,,,,,,,,
04:08.7,9.08,43900,0.441649899,1013,27.7,55,0.05,0.0000,0.0016,0.1945,,07/31/26,04:08.7,,,,,,,,,
04:13.7,9.17,44200,0.444668008,1013,27.7,55,0.05,0.0000,0.0016,0.1957,,07/31/26,04:13.7,,,,,,,,,
04:18.7,9.25,44600,0.448692153,1013,27.7,55,0.05,0.0000,0.0016,0.1969,,07/31/26,04:18.7,,,,,,,,,
04:23.7,9.33,45000,0.452716298,1013,27.7,55,0.05,0.0000,0.0016,0.1980,,07/31/26,04:23.7,,,,,,,,,
04:28.7,9.42,45200,0.45472837,1013,27.7,55,0.05,0.0000,0.0016,0.1992,,07/31/26,04:28.7,,,,,,,,,
04:33.7,9.50,45600,0.458752515,1013,27.7,55,0.05,0.0000,0.0016,0.2003,,07/31/26,04:33.7,,,,,,,,,
04:38.7,9.58,46200,0.464788732,1012,27.7,55,0.05,0.0000,0.0016,0.2014,,07/31/26,04:38.7,,,,,,,,,
04:43.7,9.67,46800,0.47082495,1013,27.7,55,0.05,0.0000,0.0016,0.2025,,07/31/26,04:43.7,,,,,,,,,
04:48.7,9.75,46900,0.471830986,1013,27.7,55,0.05,0.0000,0.0016,0.2036,,07/31/26,04:48.7,,,,,,,,,
04:53.7,9.83,47700,0.479879276,1013,27.7,55,0.05,0.0000,0.0016,0.2047,,07/31/26,04:53.7,,,,,,,,,
04:58.7,9.92,47900,0.481891348,1013,27.7,55,0.05,0.0000,0.0016,0.2058,,07/31/26,04:58.7,,,,,,,,,
05:03.7,10.00,48500,0.487927565,1013,27.7,55,0.05,0.0000,0.0017,0.2069,,07/31/26,05:03.7,,,,,,,,,
05:08.7,10.08,48500,0.487927565,1013,27.7,55,0.05,0.0000,0.0017,0.2080,,07/31/26,05:08.7,,,,,,,,,
